Year,Race,Driver,Team,GridPosition,RacePosition,Status,IsWetRace
2022,Pre-Season Track Session,SAI,Ferrari,1.0,1.0,Finished,False
2022,Pre-Season Track Session,PER,Red Bull Racing,4.0,2.0,Finished,False
2022,Pre-Season Track Session,HAM,Mercedes,5.0,3.0,Finished,False
2022,Pre-Season Track Session,LEC,Ferrari,3.0,4.0,Finished,False
2022,Pre-Season Track Session,ALO,Alpine,7.0,5.0,Finished,False
2022,Pre-Season Track Session,NOR,McLaren,6.0,6.0,Finished,False
2022,Pre-Season Track Session,VER,Red Bull Racing,2.0,7.0,Finished,False
2022,Pre-Season Track Session,MSC,Haas F1 Team,19.0,8.0,Finished,False
2022,Pre-Season Track Session,VET,Aston Martin,18.0,9.0,Finished,False
2022,Pre-Season Track Session,MAG,Haas F1 Team,17.0,10.0,Finished,False
2022,Pre-Season Track Session,STR,Aston Martin,20.0,11.0,Finished,False
2022,Pre-Season Track Session,LAT,Williams,10.0,12.0,Finished,False
2022,Pre-Season Track Session,RIC,McLaren,14.0,13.0,Finished,False
2022,Pre-Season Track Session,TSU,AlphaTauri,13.0,14.0,Finished,False
2022,Pre-Season Track Session,OCO,Alpine,15.0,15.0,Fuel pump,False
2022,Pre-Season Track Session,GAS,AlphaTauri,11.0,16.0,Collision damage,False
2022,Pre-Season Track Session,BOT,Alfa Romeo,12.0,17.0,Gearbox,False
2022,Pre-Season Track Session,RUS,Mercedes,8.0,18.0,Collision,False
2022,Pre-Season Track Session,ZHO,Alfa Romeo,9.0,19.0,Collision,False
2022,Pre-Season Track Session,ALB,Williams,16.0,20.0,Collision,False
2022,Pre-Season Test,VER,Red Bull Racing,2.0,1.0,Finished,False
2022,Pre-Season Test,HAM,Mercedes,3.0,2.0,Finished,False
2022,Pre-Season Test,LEC,Ferrari,12.0,3.0,Finished,False
2022,Pre-Season Test,PER,Red Bull Racing,9.0,4.0,Finished,False
2022,Pre-Season Test,RUS,Mercedes,4.0,5.0,Finished,False
2022,Pre-Season Test,NOR,McLaren,6.0,6.0,Finished,False
2022,Pre-Season Test,ALO,Alpine,14.0,7.0,Finished,False
2022,Pre-Season Test,VET,Aston Martin,10.0,8.0,Finished,False
